iata,icao,name,location,latitude,longitude,website,city,country,country_iso,phone
ASQ,,Austin Airport (FAA: 9U3),"Austin, Nevada, United States",30.197472,-97.66635,http://www.austintexas.gov/airport/,Austin,United States,US,+1 512-530-2242
ASU,SGAS,Silvio Pettirossi International Airport,"Asunción, Paraguay",-25.241512,-57.514183,http://www.dinac.gov.py/v2/index.php?option=com_k2&view=itemlist&task=category&id=49:aeropuerto-internacional-silvio-pettirossi&Itemid=205,Luque,Paraguay,PY,+595 21 688 2000
ATA,SPHZ,Comandante FAP Germán Arias Graziani Airport,"Huaraz, Peru",0.0,0.0,,,,,
ATT,,Atmautluak Airport (FAA: 4A2),"Atmautluak, Alaska, United States",60.86386,-162.27374,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=4A2,Atmautluak,United States,US,+1 907-269-0747
AUE,,Abu Rudeis Airport,"Abou Redis, Egypt",28.904774,33.194607,,,Egypt,EG,
AUW,KAUW,Wausau Downtown Airport,"Wausau, Wisconsin, United States",44.929462,-89.62824,http://www.flywausau.com/,Wausau,United States,US,+1 715-845-3400
AUZ,KARR,Aurora Municipal Airport (FAA: ARR),"Aurora, Illinois, United States",41.769978,-88.468285,http://www.auroraairport.com/home.htm,Sugar Grove,United States,US,+1 630-256-3120
AVI,MUCA,Máximo Gómez Airport,"Ciego de Ávila, Cuba",0.0,0.0,,,,,
HEL,EFHK,Helsinki Airport (Helsinki-Vantaa Airport),"Helsinki, Finland",60.32104,24.95286,http://www.helsinki-vantaa.fi/,Vantaa,Finland,FI,+358 200 14636
BRR,EGPR,Barra Airport,"Barra, Scotland, United Kingdom",57.025356,-7.44946,http://www.hial.co.uk/barra-airport/,Eoligarry,United Kingdom,GB,+44 1871 890212
LLW,FWKI,Lilongwe International Airport (Kamuzu Int'l),"Lilongwe, Malawi",-13.783333,33.7775,,Lumbadzi,Malawi,MW,+265 1 700 811
PNS,KPNS,Pensacola International Airport,"Pensacola, Florida, United States",30.473816,-87.18671,http://www.flypensacola.com/,Pensacola,United States,US,+1 850-436-5000
TEK,,Tatitlek Airport (FAA: 7KA),"Tatitlek, Alaska, United States",60.871956,-146.68793,,Tatitlek,United States,US,
LPL,EGGP,Liverpool John Lennon Airport,"Liverpool, England, United Kingdom",53.33586,-2.8550475,http://www.liverpoolairport.com/,Speke,United Kingdom,GB,+44 871 521 8484
LPP,EFLP,Lappeenranta Airport,"Lappeenranta, Finland",61.044117,28.156282,http://www.lppairport.fi/,Lappeenranta,Finland,FI,+358 40 0276866
ATD,AGAT,Uru Harbour Airport,"Atoifi, Malaita, Solomon Islands",0.0,0.0,,,,,
AVK,ZMAH,Arvaikheer Airport,"Arvaikheer, Mongolia",46.250088,102.80302,,Arvaikheer,Mongolia,MN,
AVN,LFMV,Avignon – Provence Airport,"Avignon, Provence-Alpes-Côte d'Azur, France",43.90715,4.9018307,http://www.avignon.aeroport.fr/,Avignon,France,FR,+33 4 90 81 51 51
AYY,,Arugam Bay Seaplane Base,"Pottuvil, Sri Lanka",0.0,0.0,,,,,
LPQ,VLLB,Luang Prabang International Airport,"Luang Prabang, Laos",19.904427,102.16822,http://www.luangprabangairport.com/,Luang Prabang,Laos,LA,
SJX,,Sarteneja Airport,"Sarteneja, Belize",18.506395,-88.324295,,Chetumal,Mexico,MX,+52 983 834 5013
SAH,OYSN,Sana'a International Airport (El Rahaba Airport),"Sana'a, Yemen",15.479529,44.21662,http://sanaa.airport-authority.com/,Sana'a,Yemen,YE,
SAL,MSLP,Monseñor Óscar Arnulfo Romero International Airport,"San Salvador, El Salvador",13.445138,-89.05704,,San Salvador,El Salvador,SV,+503 2349 9455
SAN,KSAN,San Diego International Airport,"San Diego, California, United States",32.7338,-117.193306,http://www.san.org/,San Diego,United States,US,+1 619-400-2404
LPU,WRLP,Long Apung Airport,"Long Apung, Indonesia",1.7015699,114.97018,,,Indonesia,ID,
SLZ,SBSL,Marechal Cunha Machado International Airport,"São Luís, Maranhão, Brazil",-2.5849926,-44.23488,http://www.infraero.gov.br/,,Brazil,BR,+55 98 3217-6100
SMF,KSMF,Sacramento International Airport,"Sacramento, California, United States",38.695084,-121.590065,http://www.smf.aero/,Sacramento,United States,US,+1 916-929-5411
LRA,LGLR,Larissa National Airport,"Larissa, Greece",39.64983,22.460936,,Larisa,Greece,GR,
LRD,KLRD,Laredo International Airport,"Laredo, Texas, United States",27.544783,-99.46136,http://www.cityoflaredo.com/airport/,Laredo,United States,US,+1 956-795-2000
SMS,FMMS,Sainte Marie Airport,"Île Sainte-Marie, Madagascar",-17.08964,49.81668,,,Madagascar,MG,
AUV,AYUM,Aumo Airport,"Aumo, Papua New Guinea",0.0,0.0,,,,,
AVO,KAVO,Avon Park Executive Airport,"Avon Park, Florida, United States",27.594885,-81.5262,http://avonpark.cc/,Avon Park,United States,US,+1 863-453-3565
AVV,YMAV,Avalon Airport,"Avalon, Victoria, Australia",-38.038635,144.46889,http://www.avalonairport.com.au/,Lara,Australia,AU,+61 3 5227 9100
AWR,,Awar Airport,"Awar, Papua New Guinea",0.0,0.0,,,,,
AWZ,OIAW,Ahvaz International Airport,"Ahvaz, Iran",31.342964,48.7469,https://ahwaz.airport.ir/,Ahvaz,Iran,IR,+98 61 3443 4601
SOO,ESNY,Söderhamn Airport (Helsinge Airport),"Söderhamn, Sweden",61.263027,17.10103,,,Sweden,SE,
SOE,FCOS,Souanké Airport,"Souanké, Republic of the Congo",0.0,0.0,,,,,
STL,KSTL,Lambert–St. Louis International Airport,"St. Louis, Missouri, United States",38.751648,-90.37153,http://www.flystl.com/,St. Louis,United States,US,+1 314-890-1333
STP,KSTP,St. Paul Downtown Airport (Holman Field),"St. Paul / Minneapolis, Minnesota, United States",44.933468,-93.06013,https://www.metroairports.org/General-Aviation/Airports/St-Paul.aspx,Saint Paul,United States,US,+1 651-224-4306
STT,TIST,Cyril E. King Airport,"St. Thomas Island, United States Virgin Islands",18.336061,-64.972275,http://www.viport.com/airports/index.html,Charlotte Amalie West,U.S. Virgin Islands,VI,+1 340-774-5100
STV,VASU,Surat Airport,"Surat, Gujarat, India",21.12053,72.74309,http://www.aai.aero/,Surat,India,IN,+91 261 270 0200
STX,TISX,Henry E. Rohlsen Airport,"Saint Croix, United States Virgin Islands",17.69953,-64.79747,http://www.viport.com/,Christiansted,U.S. Virgin Islands,VI,+1 340-778-1012
SUB,WARR,Juanda International Airport,"Surabaya, Indonesia",-7.3788853,112.78729,http://www.juanda-airport.com/,,Indonesia,ID,+62 31 2986200
SUE,KSUE,Door County Cherryland Airport,"Sturgeon Bay, Wisconsin, United States",44.84097,-87.42507,http://map.co.door.wi.us/airport/,Sturgeon Bay,United States,US,+1 920-743-3636
SUF,LICA,Lamezia Terme International Airport,"Lamezia Terme, Calabria, Italy",38.906265,16.245392,https://lameziaairport.it/,Lamezia Terme,Italy,IT,+39 0968 414385
SUG,RPMS,Surigao Airport,"Surigao City, Philippines",9.760337,125.48128,,Surigao City,Philippines,PH,+63 86 826 3898
SXL,EISG,Sligo Airport,"Sligo, Ireland",54.27875,-8.598989,http://www.sligoairport.com/,Strandhill,Ireland,IE,+353 71 916 8280
TON,,Tonu Airport,"Tonu, Papua New Guinea",-6.6547146,155.43341,,,Papua New Guinea,PG,
YNX,,Snap Lake Airport (TC: CSK6),"Snap Lake, Northwest Territories, Canada",63.593647,-110.90559,,,Canada,CA,
DDG,ZYDD,Dandong Langtou Airport,"Dandong, Liaoning, China",40.02575,124.28692,,Dandong,China,CN,
DEI,FSSD,Denis Island Airport,"Denis Island, Seychelles",-4.3234606,55.69215,,Grand Anse,Seychelles,SC,
BAM,KBAM,Battle Mountain Airport (Lander County Airport),"Battle Mountain, Nevada, United States",40.599716,-116.87612,http://landercountynv.org/,Battle Mountain,United States,US,+1 775-635-2245
SKS,EKSP,Vojens Airport (Skrydstrup Airport),"Vojens, Denmark",55.221985,9.290951,http://vojenslufthavn.dk/,Vojens,Denmark,DK,+45 74 59 16 54
SSW,,Stuart Island Airpark (FAA: 7WA5),"Stuart Island, Washington, United States",48.67334,-123.1759,,Friday Harbor,United States,US,
TNK,,Tununak Airport (FAA: 4KA),"Tununak, Alaska, United States",60.575554,-165.27167,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=4KA,Tununak,United States,US,+1 907-269-0747
LYN,LFLY,Lyon–Bron Airport,"Lyon, Rhône-Alpes, France",45.728565,4.942278,http://www.lyonaeroports.com/,Bron,France,FR,+33 825 10 69 69
LYP,OPFA,Faisalabad International Airport,"Faisalabad, Pakistan",31.363043,72.98757,http://www.caapakistan.com.pk/timeline/fsbd/timeline-fsbd.aspx,Faislabad,Pakistan,PK,+92 41 111 222 114
SZF,LTFH,Samsun-Çarşamba Airport,"Samsun, Turkey",41.259186,36.557377,http://www.carsamba.dhmi.gov.tr/,,Turkey,TR,+90 362 844 88 30
SZN,KSZN,Santa Cruz Island Airport,"Santa Cruz Island, California, United States",34.06056,-119.91513,,Ventura,United States,US,+1 805-962-9111
SZX,ZGSZ,Shenzhen Bao'an International Airport,"Shenzhen, Guangdong, China",22.636827,113.814606,http://www.szairport.com/,Shenzhen,China,CN,+86 755 2345 6789
LYS,LFLL,Lyon–Saint-Exupéry Airport,"Lyon, Rhône-Alpes, France",45.72342,5.0887766,http://www.lyonaeroports.com/,Colombier-Saugnieu,France,FR,+33 826 80 08 26
AJN,FMCV,Ouani Airport,"Anjouan, Comoros",-12.133332,44.429672,,Ouani,Comoros,KM,
AKM,,Zakouma Airport,"Zakouma National Park, Chad",9.147309,18.381842,,Sarh,Chad,TD,
AXD,LGAL,Alexandroupoli Airport (Dimokritos Airport),"Alexandroupoli, Greece",40.85657,25.944748,http://www.axdairport.com/,,Greece,GR,
AZN,UTKA,Andizhan Airport,"Andizhan, Uzbekistan",40.739174,72.31322,,Andijan,Uzbekistan,UZ,+998 90 482 45 45
AZO,KAZO,Kalamazoo/Battle Creek International Airport,"Kalamazoo, Michigan, United States",42.23555,-85.55159,http://azoairport.com/,Portage,United States,US,+1 269-388-3668
BAI,MRBA,Buenos Aires Airport,"Buenos Aires, Costa Rica",9.164183,-83.330315,,Buenos Aires,Costa Rica,CR,+506 8456 4604
SVP,FNKU,Kuito Airport,"Kuito, Angola",-12.403892,16.94988,,Kuito,Angola,AO,
SWD,PAWD,Seward Airport,"Seward, Alaska, United States",60.13016,-149.41788,http://www.faa.gov/airports/airport_safety/airportdata_5010/menu/contacts.cfm?Region=&District=&State=AK&County=&City=&Use=&Certification=,Seward,United States,US,+1 907-262-2199
SYI,KSYI,Shelbyville Municipal Airport (Bomar Field),"Shelbyville, Tennessee, United States",35.56143,-86.44452,http://www.shelbyvilletnairport.org/,Shelbyville,United States,US,+1 931-684-1669
SYJ,OIKY,Sirjan Airport,"Sirjan, Iran",29.550589,55.665016,http://sirjan.airport.ir/,Sirjan,Iran,IR,
SYM,ZPSM,Pu'er Simao Airport,"Simao, Yunnan, China",22.793524,100.96289,,Pu'er,China,CN,
DGF,,Douglas Lake Airport,"Douglas Lake, British Columbia, Canada",50.16437,-120.155785,,Douglas Lake,Canada,CA,
BBY,FEFM,Bambari Airport,"Bambari, Central African Republic",5.8466086,20.64974,,,Central African Republic,CF,
BKA,UUBB,Bykovo Airport,"Moscow, Russia",55.62286,38.06076,http://bykovo-sky.ru/,Bykovo,Russia,RU,+7 495 558-49-33
FAQ,AYFR,Frieda River Airport,"Frieda River, Papua New Guinea",0.0,0.0,,,,,
GLV,PAGL,Golovin Airport,"Golovin, Alaska, United States",64.54801,-163.01434,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=GLV,Golovin,United States,US,+1 800-478-8400
LZO,ZULZ,Luzhou Lantian Airport,"Luzhou, Sichuan, China",0.0,0.0,,,,,
GST,PAGS,Gustavus Airport,"Gustavus, Alaska, United States",58.42247,-135.70305,https://nfdc.faa.gov/nfdcApps/services/ajv5/airportDisplay.jsp?airportId=gst,Gustavus,United States,US,+1 907-697-2251
LZY,ZUNZ,Nyingchi Mainling Airport,"Nyingchi (Linzhi), Tibet, China",29.305494,94.335335,,Nyingchi,China,CN,
MBJ,MKJS,Sangster International Airport,"Montego Bay, Jamaica",18.502264,-77.91444,http://www.mbjairport.com/contact,Montego Bay,Jamaica,JM,+1 876-952-3124
MBL,KMBL,Manistee County Blacker Airport,"Manistee, Michigan, United States",44.275444,-86.25621,http://flymanistee.com/,Manistee,United States,US,+1 231-398-9272
MBO,RPUM,Mamburao Airport,"Mamburao, Philippines",13.207222,120.60555,,Mamburao,Philippines,PH,
BAQ,SKBQ,Ernesto Cortissoz International Airport,"Barranquilla, Colombia",10.886601,-74.77643,http://aeropuertobaq.com/,,Colombia,CO,+57 5 3160900
BAT,SBBT,Chafei Amsei Airport,"Barretos, São Paulo, Brazil",-20.585012,-48.59503,,,Brazil,BR,+55 17 3322-2471
BBJ,EDRB,Bitburg Airport (former Bitburg Air Base),"Bitburg, Rhineland-Palatinate, Germany",49.94574,6.55824,http://www.flugplatz-bitburg.de/,Bitburg,Germany,DE,+49 6561 96360
BBP,EGHJ,Bembridge Airport,"Bembridge, England, United Kingdom",50.678024,-1.107255,http://www.eghj.co.uk/,,United Kingdom,GB,+44 1983 873051
BBQ,TAPH,Barbuda Codrington Airport,"Barbuda, Antigua and Barbuda",17.635834,-61.826946,,Codrington,Antigua and Barbuda,AG,
BBW,KBBW,Broken Bow Municipal Airport,"Broken Bow, Nebraska, United States",41.436424,-99.64216,http://www.cityofbrokenbow.org/visiting,Broken Bow,United States,US,+1 308-872-2875
BBX,KLOM,Wings Field (FAA: LOM),"Philadelphia, Pennsylvania, United States",0.0,0.0,,,,,
BCA,MUBA,Gustavo Rizo Airport,"Baracoa, Cuba",20.3584,-74.50417,,Baracoa,Cuba,CU,+53 21 641665
BCD,RPVB,Bacolod–Silay International Airport,"Bacolod, Philippines",10.776625,123.01491,,Silay City,Philippines,PH,+63 34 435 2448
BCF,FEGU,Bouca Airport,"Bouca, Central African Republic",6.4923935,17.42887,,,Central African Republic,CF,
BCV,,Hector Silva Airstrip,"Belmopan, Belize",17.270702,-88.77919,,Belmopan,Belize,BZ,
BDG,KBDG,Blanding Municipal Airport,"Blanding, Utah, United States",37.582176,-109.481575,http://www.blanding-ut.gov/airport.html,Blanding,United States,US,+1 435-678-3222
BFW,DAOS,Sidi Bel Abbès Airport,"Sidi Bel Abbès, Algeria",35.17354,-0.5934793,,Amarna,Algeria,DZ,
LYB,MWCL,Edward Bodden Airfield,"Little Cayman, British Overseas Territory of Cayman Islands",19.659512,-80.084816,http://www.caymanairports.com/,Blossom Village,Cayman Islands,KY,+1 345-948-0021
LYC,ESNL,Lycksele Airport,"Lycksele, Sweden",64.550354,18.707087,http://www.lyckseleairport.se/,,Sweden,SE,+46 950 275 55
LYO,KLYO,Lyons–Rice County Municipal Airport,"Lyons, Kansas, United States",38.345615,-98.22738,,Lyons,United States,US,
LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field),"Lynchburg, Virginia, United States",37.325478,-79.201416,http://www.lynchburgva.gov/airport,Lynchburg,United States,US,+1 434-455-6090
MAA,VOMM,Chennai International Airport,"Chennai, Tamil Nadu, India",12.994112,80.17087,https://www.aai.aero/en/airports/chennai,Chennai,India,IN,+91 44 2256 0551
KFP,PAKF,False Pass Airport,"False Pass, Alaska, United States",54.8496,-163.4083,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=KFP,False Pass,United States,US,+1 907-269-0664
KKA,PAKK,Koyuk Alfred Adams Airport,"Koyuk, Alaska, United States",64.93915,-161.15482,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=KKA,Koyuk,United States,US,+1 907-443-3444
BGP,,Bongo Airport,"Bongo, Gabon",0.0,0.0,,,,,
HCR,PAHC,Holy Cross Airport (FAA: HCA),"Holy Cross, Alaska, United States",62.187965,-159.77551,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=HCA,Holy Cross,United States,US,+1 907-438-2416
KTN,PAKT,Ketchikan International Airport,"Ketchikan, Alaska, United States",55.35541,-131.71056,http://www.borough.ketchikan.ak.us/130/Airport,Ketchikan,United States,US,+1 907-225-6800
KAL,PAKV,Kaltag Airport,"Kaltag, Alaska, United States",64.321945,-158.73611,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=KAL,Kaltag,United States,US,+1 907-451-2294
KYK,PAKY,Karluk Airport,"Karluk, Alaska, United States",57.566086,-154.45389,,Kodiak,United States,US,+1 907-269-0767
HOM,PAHO,Homer Airport,"Homer, Alaska, United States",59.643856,-151.49097,http://www.cityofhomer-ak.gov/airport,Homer,United States,US,+1 907-235-2757
HPB,PAHP,Hooper Bay Airport,"Hooper Bay, Alaska, United States",61.523182,-166.14513,http://dot.alaska.gov/creg/hooperbay/index.shtml,Hooper Bay,United States,US,+1 907-543-2495
HSL,PAHL,Huslia Airport (FAA: HLA),"Huslia, Alaska, United States",65.69793,-156.3511,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=HLA,Huslia,United States,US,+1 907-829-2456
AKN,PAKN,King Salmon Airport,"King Salmon, Alaska, United States",58.676666,-156.64917,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?airportId=AKN,King Salmon,United States,US,+1 907-246-3325
AKP,PAKP,Anaktuvuk Pass Airport,"Anaktuvuk Pass, Alaska, United States",68.13318,-151.74333,http://www.faa.gov/,Anaktuvuk Pass,United States,US,+1 907-852-0371
BDL,KBDL,Bradley International Airport,"Windsor Locks / Hartford, Connecticut, United States",41.938873,-72.686035,http://www.bradleyairport.com/,Windsor Locks,United States,US,+1 860-292-2000
BDM,LTBG,Bandırma Airport,"Bandırma, Turkey",39.615826,27.925764,http://www.balikesir.dhmi.gov.tr/havaalanlari/default.aspx?hv=17,,Turkey,TR,+90 266 294 75 10
BDP,VNCG,Bhadrapur Airport (Chandragadhi Airport),"Bhadrapur / Chandragadhi, Nepal",26.569523,88.07745,,Bhadrapur,Nepal,NP,+977 23-455432
BEA,,Bereina Airport,"Bereina, Papua New Guinea",-7.9634156,145.7714,,Kerema,Papua New Guinea,PG,
BEG,LYBE,Belgrade Nikola Tesla Airport,"Belgrade, Serbia",44.8205,20.29169,http://www.beg.aero/,Beograd,Serbia,RS,+381 11 2094444
BFL,KBFL,Meadows Field Airport,"Bakersfield, California, United States",35.43291,-119.05662,http://www.meadowsfield.com/,Bakersfield,United States,US,+1 661-391-1800
BFN,FABL,Bloemfontein Airport,"Bloemfontein, South Africa",-29.092735,26.298767,http://www.acsa.co.za/airports/bram-fischer/the-airport/about-bram-fischer,Bloemfontein,South Africa,ZA,+27 51 407 2200
BFS,EGAA,Belfast International Airport,"Belfast, Northern Ireland, United Kingdom",54.66178,-6.216244,http://www.belfastairport.com/,,United Kingdom,GB,+44 28 9448 4848
IAN,PAIK,Bob Baker Memorial Airport,"Kiana, Alaska, United States",66.9755,-160.43674,https://www.faa.gov/about/office_org/headquarters_offices/ato/service_units/systemops/fs/alaskan/alaska/fai/arpt_photo/nswdlkob/ian/,Kiana,United States,US,+1 907-442-3147
SHX,PAHX,Shageluk Airport,"Shageluk, Alaska, United States",62.691357,-159.56923,http://dot.alaska.gov/stwdav/airports_public_northern.shtml,Shageluk,United States,US,+1 907-438-2416
AAG,SSYA,Arapoti Airport,"Arapoti, Paraná, Brazil",-23.673635,-49.81896,http://siqueiracampos.pr.gov.br/prefeitura/,,Brazil,BR,
LUR,PALU,Cape Lisburne LRRS Airport,"Cape Lisburne, Alaska, United States",68.87549,-166.11217,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=LUR,Point Hope,United States,US,+1 907-552-9730
OME,PAOM,Nome Airport,"Nome, Alaska, United States",64.50993,-165.44351,,Nome,United States,US,
LMA,PAMH,Lake Minchumina Airport (FAA: MHM),"Lake Minchumina, Alaska, United States",63.88327,-152.31668,http://www.faa.gov/airports/airport_safety/airportdata_5010/menu/contacts.cfm?Region=&District=&State=AK&County=&City=&Use=&Certification=,Lake Minchumina,United States,US,+1 907-451-5250
OOK,PAOO,Toksook Bay Airport,"Toksook Bay, Alaska, United States",60.537857,-165.08942,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=OOK,Toksook Bay,United States,US,+1 866-864-1737
SMK,PAMK,St. Michael Airport,"St. Michael, Alaska, United States",63.48996,-162.1103,https://www.faa.gov/,Saint Michael,United States,US,
PTH,PAPH,Port Heiden Airport,"Port Heiden, Alaska, United States",56.958523,-158.6388,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=PTH,Port Heiden,United States,US,+1 907-246-3325
PTU,PAPM,Platinum Airport,"Platinum, Alaska, United States",59.016365,-161.82562,http://www.faa.gov/airports/airport_safety/airportdata_5010/menu/contacts.cfm?Region=&District=&State=AK&County=&City=&Use=&Certification=,Platinum,United States,US,+1 907-269-0747
KPC,PAPC,Port Clarence Coast Guard Station,"Port Clarence, Alaska, United States",65.25365,-166.85847,,Teller,United States,US,
TGJ,NWWA,Tiga Airport,"Tiga Island, Loyalty Islands, New Caledonia",-21.09349,167.80385,,,New Caledonia,NC,
CZO,,Chistochina Airport,"Chistochina, Alaska, United States",62.15489,-145.45663,http://www.dot.state.ak.us/,Glennallen,United States,US,+1 907-822-3222
MLY,PAML,Manley Hot Springs Airport,"Manley Hot Springs, Alaska, United States",64.996666,-150.64305,http://dot.alaska.gov/stwdav/airports_public_northern.shtml,Manley Hot Springs,United States,US,+1 907-451-2200
MFA,HTMA,Mafia Airport,"Mafia Island, Tanzania",-7.913545,39.667236,,Kilindoni,Tanzania,TZ,
MFE,KMFE,McAllen Miller International Airport,"McAllen, Texas, United States",26.17822,-98.24096,http://mcallenairport.com/,McAllen,United States,US,+1 956-681-1500
LYK,,Lunyuk Airport,"Lunyuk, Indonesia",-8.989993,117.21602,,,Indonesia,ID,
LYR,ENSB,"Svalbard Airport, Longyear","Longyearbyen, Svalbard, Norway",78.246086,15.465563,https://avinor.no/en/airport/svalbard-airport/,Longyearbyen,Svalbard and Jan Mayen,SJ,+47 67 03 54 00
LYU,KELO,Ely Municipal Airport (FAA: ELO),"Ely, Minnesota, United States",47.82369,-91.8293,http://www.ely.mn.us/index.asp?Type=B_BASIC&SEC=%7B936B252D-C48B-42BD-B996-37F320A6CFF7%7D,Ely,United States,US,+1 218-365-5600
LYX,EGMD,Lydd Airport (London Ashford Airport),"Lydd, England, United Kingdom",50.955734,0.9335221,http://www.lydd-airport.co.uk/,,United Kingdom,GB,+44 1797 322400
LZA,FZUG,Luiza Airport,"Luiza, Democratic Republic of the Congo",0.0,0.0,,,,,
ORT,PAOR,Northway Airport,"Northway, Alaska, United States",62.96172,-141.92435,http://dot.alaska.gov/stwdav/airports_public_northern.shtml,Northway,United States,US,+1 907-883-5128
OTZ,PAOT,Ralph Wien Memorial Airport,"Kotzebue, Alaska, United States",66.88811,-162.59338,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?airportId=OTZ,Kotzebue,United States,US,+1 907-442-3147
AAO,SVAN,Anaco Airport,"Anaco, Venezuela",9.430555,-64.471664,http://www.wikomm.com/card/jesus-alberto--brazon-hurtado/127,Anaco,Venezuela,VE,+58 424-8996278
AAR,EKAH,Aarhus Airport,"Aarhus, Denmark",56.307514,10.628102,http://www.aar.dk/,Kolind,Denmark,DK,+45 87 75 70 00
AAV,RPMA,Allah Valley Airport,"Surallah, Philippines",0.0,0.0,,,,,
NLG,PAOU,Nelson Lagoon Airport (FAA: OUL),"Nelson Lagoon, Alaska, United States",56.008015,-161.16156,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=OUL,Nelson Lagoon,United States,US,+1 907-532-5000
AAY,OYGD,Al Ghaydah Airport,"Al Ghaydah, Yemen",17.048855,54.087547,http://salalahairport.co.om/,Salalah,Oman,OM,+968 23 367461
ACA,MMAA,General Juan N. Álvarez International Airport,"Acapulco, Guerrero, Mexico",16.76182,-99.75439,https://www.oma.aero/es/pasajeros/acapulco/,Acapulco,Mexico,MX,+52 744 435 2060
ACH,LSZR,St. Gallen–Altenrhein Airport,"Altenrhein, Switzerland",47.485874,9.560018,http://www.peoples.ch/,Thal,Switzerland,CH,+41 71 858 51 65
ACX,ZUYI,Xingyi Wanfenglin Airport,"Xingyi, Guizhou, China",25.085556,104.95944,,Qianxinan,China,CN,
BFV,VTUO,Buriram Airport,"Buriram, Thailand",15.228529,103.25067,,,Thailand,TH,+66 44 680 086
BGA,SKBG,Palonegro International Airport,"Bucaramanga, Colombia",7.1280894,-73.181274,http://bga.aerooriente.com.co/,Lebrija,Colombia,CO,+57 1 7433073
BGD,KBGD,Hutchinson County Airport,"Borger, Texas, United States",35.69993,-101.39411,http://hutchinsoncountyairport.com/,Borger,United States,US,+1 806-273-0137
LSI,EGPB,Sumburgh Airport,"Shetland Islands, Scotland, United Kingdom",59.878292,-1.2939239,http://www.hial.co.uk/sumburgh-airport/,,United Kingdom,GB,+44 371 700 2000
RBY,PARY,Ruby Airport,"Ruby, Alaska, United States",64.72751,-155.46857,http://www.faa.gov/airports/airport_safety/airportdata_5010/menu/contacts.cfm?Region=&District=&State=AK&County=&City=&Use=&Certification=,Ruby,United States,US,+1 907-451-5217
ABZ,EGPD,Aberdeen Airport,"Aberdeen, Scotland, United Kingdom",57.203697,-2.200162,http://www.aberdeenairport.com/,Dyce,United Kingdom,GB,+44 344 481 6666
KSM,PASM,St. Mary's Airport,"St. Mary's, Alaska, United States",49.913414,-6.29192,http://www.scilly.gov.uk/environment-transport/isles-scilly-airport,,United Kingdom,GB,+44 1720 422677
TKA,PATK,Talkeetna Airport,"Talkeetna, Alaska, United States",62.321835,-150.09367,https://www.faa.gov/about/office_org/headquarters_offices/ato/service_units/systemops/fs/alaskan/alaska/fai/arpt_photo/cooksu/tka/,Talkeetna,United States,US,+1 907-733-2278
FYU,PFYU,Fort Yukon Airport,"Fort Yukon, Alaska, United States",66.57159,-145.24966,https://nfdc.faa.gov/nfdcApps/services/ajv5/airportDisplay.jsp?airportId=fyu,Fort Yukon,United States,US,+1 907-662-3448
GAR,AYGI,Garaina Airport,"Garaina, Papua New Guinea",0.0,0.0,,,,,
TNO,MRTM,Tamarindo Airport,"Tamarindo, Costa Rica",10.314196,-85.81515,http://www.liberiacrairport.com/,,Costa Rica,CR,+506 8313 1419
TNZ,ZMTL,Tosontsengel Airport,"Tosontsengel, Mongolia",48.738895,98.29335,,Tosontsengel,Mongolia,MN,
TOB,HLGN,Tobruk Airport,"Tobruk, Libya",31.861029,23.903667,,Adam,Libya,LY,
BNM,AYBD,Bodinumu Airport,"Bodinumu, Papua New Guinea",0.0,0.0,,,,,
BNZ,,Banz Airport,"Banz, Papua New Guinea",0.0,0.0,,,,,
BPD,AYBP,Bapi Airport,"Bapi, Papua New Guinea",0.0,0.0,,,,,
CPN,,Cape Rodney Airport,"Cape Rodney, Papua New Guinea",-36.595142,174.69101,,Orewa,New Zealand,NZ,+64 9-426 5432
LZU,KLZU,Gwinnett County Airport[2] (Briscoe Field),"LaGrange, Georgia, United States",33.9755,-83.962524,https://www.gwinnettcounty.com/portal/gwinnett/Departments/Transportation/Aviation,Lawrenceville,United States,US,+1 770-822-5196
MBP,SPBB,Moyobamba Airport,"Moyobamba, Peru",-6.0655813,-77.16268,,Rioja,Peru,PE,+51 975 276 913
